Year,Annual Average CPI(-U),Annual Percent Change,index,title,genre,budget,revenue,release_date,runtime,director,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore,release_year,Poster_URL
2009,214.5,-0.004,0,Avatar,Action,237000000,2787965087,12/10/2009,162,James Cameron,4,0,31,83,479,442,2304,7.5,2009,https://image.tmdb.org/t/p/w500/kyeqWdyUXW608qlYkRqosgbbJyK.jpg
2007,207.3,0.029,1,Pirates of the Caribbean: At World's End,Adventure,300000000,963420425,5/19/2007,169,Gore Verbinski,19,5,12,50,194,216,549,6.3,2007,https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg
2012,229.6,0.021,3,The Dark Knight Rises,Action,250000000,1084939099,7/16/2012,165,Christopher Nolan,6,2,37,78,357,302,3483,8.2,2012,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg
2012,229.6,0.021,4,John Carter,Action,260000000,284139100,3/7/2012,132,Andrew Stanton,20,7,16,51,151,67,371,7,2012,https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg
2007,207.3,0.029,5,Spider-Man 3,Fantasy,258000000,890871626,5/1/2007,139,Sam Raimi,13,2,25,59,420,254,857,6.7,2007,https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg
2010,218.1,0.016,6,Tangled,Animation,260000000,591794936,11/24/2010,100,Byron Howard,4,0,30,71,48,16,585,8.5,2010,https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg
2009,214.5,-0.004,8,Harry Potter and the Half-Blood Prince,Adventure,250000000,933959197,7/7/2009,153,David Yates,5,0,31,78,217,138,814,7.2,2009,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
2016,240,0.013,9,Batman v Superman: Dawn of Justice,Action,250000000,873260194,3/23/2016,151,Zack Snyder,31,10,10,44,,,4100,7,2016,https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg
2006,201.6,0.032,10,Superman Returns,Adventure,270000000,391081192,6/28/2006,154,Bryan Singer,11,0,29,72,222,302,728,6.5,2006,https://image.tmdb.org/t/p/w500/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg
2013,233,0.015,13,The Lone Ranger,Action,255000000,89289910,7/3/2013,149,Gore Verbinski,25,14,6,37,144,128,389,6.5,2013,https://image.tmdb.org/t/p/w500/xRmsqvHnaWmrazJl9bTBqs4LAjp.jpg
2013,233,0.015,14,Man of Steel,Action,225000000,662845518,6/12/2013,143,Zack Snyder,24,3,20,55,641,391,2591,7.5,2013,https://image.tmdb.org/t/p/w500/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg
2008,215.3,0.038,15,The Chronicles of Narnia: Prince Caspian,Adventure,225000000,419651413,5/15/2008,150,Andrew Adamson,10,1,23,62,83,33,148,6.5,2008,https://image.tmdb.org/t/p/w500/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg
2011,224.9,0.032,17,Pirates of the Caribbean: On Stranger Tides,Adventure,380000000,1045713802,5/14/2011,136,Rob Marshall,21,7,11,45,288,100,350,6.3,2011,https://image.tmdb.org/t/p/w500/keGfSvCmYj7CvdRx36OdVrAEibE.jpg
2014,236.7,0.016,19,The Hobbit: The Battle of the Five Armies,Action,250000000,956019788,12/10/2014,144,Peter Jackson,22,1,23,59,288,143,782,7,2014,https://image.tmdb.org/t/p/w500/xT98tLqatZPQApyRmlPL12LtiWp.jpg
2010,218.1,0.016,21,Robin Hood,Action,200000000,310669540,5/12/2010,140,Ridley Scott,15,6,19,53,112,55,185,6.2,2010,https://image.tmdb.org/t/p/w500/9NS5QGOfck24yL3bZqWeW06PgPC.jpg
2013,233,0.015,22,The Hobbit: The Desolation of Smaug,Adventure,250000000,958400000,12/11/2013,161,Peter Jackson,13,2,29,66,226,121,1334,7.8,2013,https://image.tmdb.org/t/p/w500/xQYiXsheRCDBA39DOrmaw1aSpbk.jpg
2007,207.3,0.029,23,The Golden Compass,Adventure,180000000,372234864,12/4/2007,113,Chris Weitz,20,3,10,51,80,100,188,6.1,2007,https://image.tmdb.org/t/p/w500/6DTH9poR8RAw859L6OuokT7z993.jpg
2005,195.3,0.034,24,King Kong,Adventure,207000000,550000000,12/14/2005,187,Peter Jackson,6,1,32,81,162,245,1056,7.4,2005,https://image.tmdb.org/t/p/w500/6a2HY6UmD7XiDD3NokgaBAXEsD2.jpg
2015,237,0.001,28,Jurassic World,Action,150000000,1513528810,6/9/2015,124,Colin Trevorrow,18,3,28,59,505,249,1316,6.8,2015,https://image.tmdb.org/t/p/w500/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg
2004,188.9,0.027,30,Spider-Man 2,Action,200000000,783766341,6/25/2004,127,Sam Raimi,4,0,37,83,80,60,1219,8.6,2004,https://image.tmdb.org/t/p/w500/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg
2010,218.1,0.016,32,Alice in Wonderland,Family,200000000,1025491110,3/3/2010,108,Tim Burton,16,4,18,53,265,157,326,5.8,2010,https://image.tmdb.org/t/p/w500/o0kre9wRCZz3jjSjaru7QU0UtFz.jpg
2006,201.6,0.032,33,X-Men: The Last Stand,Adventure,210000000,459359555,5/24/2006,104,Brett Ratner,14,0,24,58,289,158,383,6,2006,https://image.tmdb.org/t/p/w500/a2xicU8DpKtRizOHjQLC1JyCSRS.jpg
2013,233,0.015,34,Monsters University,Animation,200000000,743559607,6/20/2013,104,Dan Scanlon,15,0,26,65,107,23,566,7.7,2013,https://image.tmdb.org/t/p/w500/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg
2009,214.5,-0.004,35,Transformers: Revenge of the Fallen,Science,150000000,836297228,6/19/2009,150,Michael Bay,11,16,5,35,323,587,675,5.3,2009,https://image.tmdb.org/t/p/w500/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg
2010,218.1,0.016,39,TRON: Legacy,Adventure,170000000,400062763,12/10/2010,125,Joseph Kosinski,22,5,13,49,216,69,561,7.1,2010,https://image.tmdb.org/t/p/w500/vuifSABRpSnxCAOxEnWpNbZSXpp.jpg
2011,224.9,0.032,40,Cars 2,Animation,200000000,559852396,6/11/2011,106,John Lasseter,16,4,18,57,203,102,198,5.7,2011,https://image.tmdb.org/t/p/w500/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg
2011,224.9,0.032,41,Green Lantern,Adventure,200000000,219851172,6/16/2011,114,Martin Campbell,19,15,5,39,281,198,338,5.8,2011,https://image.tmdb.org/t/p/w500/fj21HwUprqjjwTdkKC1XZurRSpV.jpg
2010,218.1,0.016,42,Toy Story 3,Animation,200000000,1066969703,6/16/2010,103,Lee Unkrich,0,0,39,92,67,57,1665,8.9,2010,https://image.tmdb.org/t/p/w500/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg
2009,214.5,-0.004,43,Terminator Salvation,Action,200000000,371353001,5/20/2009,115,McG,23,7,16,49,253,147,364,6.1,2009,https://image.tmdb.org/t/p/w500/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg
2015,237,0.001,44,Furious 7,Action,190000000,1506249360,4/1/2015,137,James Wan,15,3,32,67,173,150,675,6.8,2015,https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg
2013,233,0.015,45,World War Z,Action,200000000,531865000,6/20/2013,116,Marc Forster,14,2,30,63,306,137,771,6.8,2013,https://image.tmdb.org/t/p/w500/aCnVdvExw6UWSeQfr0tUH3jr4qG.jpg
2014,236.7,0.016,46,X-Men: Days of Future Past,Action,250000000,747862775,5/15/2014,131,Bryan Singer,6,0,38,75,173,100,1842,8.3,2014,https://image.tmdb.org/t/p/w500/tYfijzolzgoMOtegh1Y7j2Enorg.jpg
2013,233,0.015,47,Star Trek Into Darkness,Action,190000000,467365246,5/5/2013,132,J.J. Abrams,6,1,36,72,185,118,1296,7.7,2013,https://image.tmdb.org/t/p/w500/7XrRkhMa9lQ71RszzSyVrJVvhyS.jpg
2013,233,0.015,49,The Great Gatsby,Drama,105000000,351040419,5/10/2013,143,Baz Luhrmann,23,3,19,55,188,64,575,7.3,2013,https://image.tmdb.org/t/p/w500/tyxfCBQv6Ap74jcu3xd7aBiaa29.jpg
2010,218.1,0.016,50,Prince of Persia: The Sands of Time,Adventure,150000000,335154643,5/19/2010,116,Mike Newell,21,4,13,50,109,37,334,7.2,2010,https://image.tmdb.org/t/p/w500/siNGMLdOUNYLEGtlsnmQcpO2XZX.jpg
2013,233,0.015,51,Pacific Rim,Action,180000000,407602906,7/11/2013,131,Guillermo del Toro,12,4,32,65,239,149,1258,7.5,2013,https://image.tmdb.org/t/p/w500/mmznhaQDwlHWpUwKuNxtQiubbmM.jpg
2011,224.9,0.032,52,Transformers: Dark of the Moon,Action,195000000,1123746996,6/28/2011,154,Michael Bay,23,8,6,42,343,276,485,5.7,2011,https://image.tmdb.org/t/p/w500/28YlCLrFhONteYSs9hKjD1Km0Cj.jpg
2008,215.3,0.038,53,Indiana Jones and the Kingdom of the Crystal Skull,Adventure,185000000,786636033,5/21/2008,122,Steven Spielberg,12,1,27,65,368,369,507,5.4,2008,https://image.tmdb.org/t/p/w500/56As6XEM1flWvprX4LgkPl8ii4K.jpg
2015,237,0.001,54,The Good Dinosaur,Adventure,175000000,331926147,11/14/2015,93,Peter Sohn,7,1,29,66,95,38,222,6.7,2015,https://image.tmdb.org/t/p/w500/8RSkxOO80btfKjyiC5ZiTaCHIT8.jpg
2012,229.6,0.021,55,Brave,Animation,185000000,538983207,6/21/2012,93,Brenda Chapman,8,0,29,69,151,56,557,7.2,2012,https://image.tmdb.org/t/p/w500/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg
2016,240,0.013,56,Star Trek Beyond,Action,185000000,343471816,7/7/2016,122,Justin Lin,8,3,39,68,195,108,577,6.7,2016,https://image.tmdb.org/t/p/w500/yOnd3XQIg7JBmu0UuBjZyLdsxQD.jpg
2007,207.3,0.029,58,Rush Hour 3,Action,140000000,258022233,8/8/2007,91,Brett Ratner,20,8,4,44,60,28,83,6.3,2007,https://image.tmdb.org/t/p/w500/rZ7IxJlPhNNJ6Rn8z1rzsXuA70P.jpg
2009,214.5,-0.004,60,A Christmas Carol,Animation,200000000,325233863,11/4/2009,96,Robert Zemeckis,16,2,14,55,42,19,124,7.1,2009,https://image.tmdb.org/t/p/w500/xNwlAIdx1Ln28GRiQttUP9Gojy2.jpg
2015,237,0.001,61,Jupiter Ascending,Science,176000003,183987723,2/4/2015,124,Lilly Wachowski,17,15,8,40,189,290,201,4.4,2015,https://image.tmdb.org/t/p/w500/2NCcAZ3M3F0FxENYmammBknwpVn.jpg
2005,195.3,0.034,63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,180000000,748806957,12/7/2005,143,Andrew Adamson,7,1,31,75,117,214,407,5.9,2005,https://image.tmdb.org/t/p/w500/iREd0rNCjYdf5Ar0vfaW32yrkm.jpg
2016,240,0.013,64,X-Men: Apocalypse,Science,178000000,543934787,5/18/2016,144,Bryan Singer,29,3,16,52,382,181,787,6.5,2016,https://image.tmdb.org/t/p/w500/2mtQwJKVKQrZgTz49Dizb25eOQQ.jpg
2008,215.3,0.038,65,The Dark Knight,Drama,185000000,1004558444,7/16/2008,152,Christopher Nolan,6,0,33,84,197,306,5128,8.9,2008,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg
2009,214.5,-0.004,66,Up,Animation,175000000,735099082,5/13/2009,96,Pete Docter,3,0,34,88,69,26,1195,8.8,2009,https://image.tmdb.org/t/p/w500/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg
2009,214.5,-0.004,67,Monsters vs Aliens,Animation,175000000,381509870,3/19/2009,94,Conrad Vernon,12,3,20,56,74,22,140,6.9,2009,https://image.tmdb.org/t/p/w500/hpHarddVj34j53T7NsoUGdKj4mP.jpg
2011,224.9,0.032,69,Hugo,Adventure,170000000,185770160,11/22/2011,126,Martin Scorsese,5,0,36,83,111,56,619,7.7,2011,https://image.tmdb.org/t/p/w500/vDAhBTIHvIoNOlgCfmLirVgUK2p.jpg
1999,166.6,0.022,70,Wild Wild West,Action,170000000,222104681,6/29/1999,106,Barry Sonnenfeld,10,11,4,38,37,41,42,5.1,1999,https://image.tmdb.org/t/p/w500/3C5cZnIwQ6Wj4qGFKv0BBjimWro.jpg
2016,240,0.013,72,Suicide Squad,Action,175000000,745000000,8/2/2016,123,David Ayer,26,16,11,40,876,833,1726,6.1,2016,https://image.tmdb.org/t/p/w500/sk3FZgh3sRrmr8vyhaitNobMcfh.jpg
2007,207.3,0.029,73,Evan Almighty,Fantasy,175000000,173000000,6/9/2007,96,Tom Shadyac,18,12,3,37,53,81,68,4.7,2007,https://image.tmdb.org/t/p/w500/u7BBXHcPRd8cGw6DVf2EvoGpviA.jpg
1995,152.4,0.028,75,Waterworld,Adventure,175000000,264218220,7/28/1995,135,Kevin Reynolds,8,1,8,56,34,88,52,3.7,1995,https://image.tmdb.org/t/p/w500/f4Q6BKm1lv9u5xoffbIIwrOYf6z.jpg
2009,214.5,-0.004,76,G.I. Joe: The Rise of Cobra,Adventure,175000000,302469017,8/4/2009,118,Stephen Sommers,7,12,6,32,102,125,151,5.3,2009,https://image.tmdb.org/t/p/w500/mc9b25IAprHfsaOz0wTshOwGHcY.jpg
2015,237,0.001,77,Inside Out,Drama,175000000,857611174,6/9/2015,94,Pete Docter,0,0,55,94,92,74,1852,8.7,2015,https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg
2016,240,0.013,78,The Jungle Book,Family,175000000,966550600,4/7/2016,106,Jon Favreau,7,0,42,77,108,44,589,7.5,2016,https://image.tmdb.org/t/p/w500/fc7THOunWR5fKOn65cXrLrrv7s9.jpg
2014,236.7,0.016,81,Maleficent,Fantasy,180000000,758539785,5/28/2014,97,Robert Stromberg,21,4,19,56,179,80,408,6.8,2014,https://image.tmdb.org/t/p/w500/bDG3yei6AJlEAK3A5wN7RwFXQ7V.jpg
2013,233,0.015,83,47 Ronin,Drama,175000000,150962475,12/6/2013,119,Carl Rinsch,8,12,1,28,116,77,213,6.2,2013,https://image.tmdb.org/t/p/w500/xDHnmcroujCRG0ysYQaiswjbyHd.jpg
2010,218.1,0.016,85,Shrek Forever After,Comedy,165000000,752600867,5/16/2010,93,Mike Mitchell,13,1,21,58,122,37,173,6.5,2010,https://image.tmdb.org/t/p/w500/6HrfPZtKcGmX2tUWW3cnciZTaSD.jpg
2015,237,0.001,86,Tomorrowland,Adventure,190000000,209154322,5/19/2015,130,Brad Bird,18,1,28,60,191,50,265,6.5,2015,https://image.tmdb.org/t/p/w500/kziYpr5Nfw60P0My8aj1sgCEqed.jpg
2012,229.6,0.021,88,Wreck-It Ralph,Family,165000000,471222889,11/1/2012,108,Rich Moore,9,1,28,72,54,30,813,8.4,2012,https://image.tmdb.org/t/p/w500/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg
2004,188.9,0.027,89,The Polar Express,Adventure,165000000,305875730,11/10/2004,100,Robert Zemeckis,9,4,23,61,44,27,133,6.9,2004,https://image.tmdb.org/t/p/w500/eOoCzH0MqeGr2taUZO4SwG416PF.jpg
2016,240,0.013,90,Independence Day: Resurgence,Action,165000000,389681935,6/22/2016,120,Roland Emmerich,17,21,2,32,188,236,165,4.6,2016,https://image.tmdb.org/t/p/w500/9S50foUIYGwiNPWOxi1WJF6IPwI.jpg
2010,218.1,0.016,91,How to Train Your Dragon,Fantasy,165000000,494878759,3/5/2010,98,Chris Sanders,4,0,29,74,39,11,687,8.7,2010,https://image.tmdb.org/t/p/w500/92olhXYaIX6lvB8jwFz4OSfPaKq.jpg
2003,184,0.023,92,Terminator 3: Rise of the Machines,Action,200000000,435000000,7/2/2003,109,Jonathan Mostow,11,1,29,66,176,60,447,7.6,2003,https://image.tmdb.org/t/p/w500/vvevzdYIrk2636maNW4qeWmlPFG.jpg
2014,236.7,0.016,94,Interstellar,Adventure,165000000,675120017,11/5/2014,169,Christopher Nolan,10,1,35,74,274,262,3613,8.5,2014,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
2010,218.1,0.016,95,Inception,Action,160000000,825532764,7/14/2010,148,Christopher Nolan,6,3,33,74,217,187,3733,8.8,2010,https://image.tmdb.org/t/p/w500/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg
2001,177.1,0.028,98,The Fast and the Furious,Action,38000000,207283925,6/22/2001,106,Rob Cohen,9,5,20,58,74,28,332,7.8,2001,https://image.tmdb.org/t/p/w500/gqY0ITBgT7A82poL9jv851qdnIb.jpg
2015,237,0.001,101,The Hunger Games: Mockingjay - Part 2,Action,160000000,653428261,11/18/2015,137,Francis Lawrence,11,2,32,65,194,87,416,6.6,2015,https://image.tmdb.org/t/p/w500/lImKHDfExAulp16grYm8zD5eONE.jpg
2010,218.1,0.016,102,The Sorcerer's Apprentice,Fantasy,150000000,215283742,7/13/2010,109,Jon Turteltaub,17,7,10,46,79,23,92,6.2,2010,https://image.tmdb.org/t/p/w500/b5pIUsGll0418NyfNA5eYCI9aoK.jpg
2006,201.6,0.032,103,Poseidon,Adventure,160000000,181674817,5/12/2006,99,Wolfgang Petersen,17,7,12,50,44,34,60,6,2006,https://image.tmdb.org/t/p/w500/1ma5b9XLCziCHzQP0Zy1Y1PqNyM.jpg
2016,240,0.013,104,Alice Through the Looking Glass,Fantasy,170000000,299370084,5/25/2016,113,James Bobin,19,20,3,34,103,70,143,5.9,2016,https://image.tmdb.org/t/p/w500/kbGamUkYfgKIYIrU8kW5oc0NatZ.jpg
2007,207.3,0.029,105,Shrek the Third,Fantasy,160000000,798958165,5/17/2007,93,Chris Miller,17,2,16,58,168,60,207,6.5,2007,https://image.tmdb.org/t/p/w500/n4SexGGQzI26E269tfpa80MZaGV.jpg
2001,177.1,0.028,109,Pearl Harbor,History,140000000,449220945,5/21/2001,183,Michael Bay,20,6,9,44,69,62,92,5.6,2001,https://image.tmdb.org/t/p/w500/y8A0Cvp8WQmZ3bjbnsL53lY0dsC.jpg
2004,188.9,0.027,111,Alexander,War,155000000,167298192,11/21/2004,175,Oliver Stone,16,18,8,39,47,49,59,5.3,2004,https://image.tmdb.org/t/p/w500/jrwQu72sGwGqwE8Ijne89PSIvhp.jpg
2005,195.3,0.034,113,Harry Potter and the Goblet of Fire,Adventure,150000000,895921036,11/5/2005,157,Mike Newell,3,0,35,81,123,77,856,7.9,2005,https://image.tmdb.org/t/p/w500/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg
2008,215.3,0.038,114,Hancock,Fantasy,150000000,624029371,7/1/2008,92,Peter Berg,16,7,14,49,151,72,278,6.4,2008,https://image.tmdb.org/t/p/w500/7DyuV2G0hLEqHeueDfOqhZ2DVut.jpg
2007,207.3,0.029,115,I Am Legend,Drama,150000000,585349010,12/14/2007,101,Francis Lawrence,9,2,26,65,137,79,510,7.1,2007,https://image.tmdb.org/t/p/w500/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg
2005,195.3,0.034,116,Charlie and the Chocolate Factory,Adventure,150000000,474968763,7/13/2005,115,Tim Burton,7,1,32,72,111,89,306,6.7,2005,https://image.tmdb.org/t/p/w500/iKP6wg3c6COUe8gYutoGG7qcPnO.jpg
2007,207.3,0.029,117,Ratatouille,Animation,150000000,623722818,6/22/2007,111,Jan Pinkava,0,0,37,96,97,59,1520,8.6,2007,https://image.tmdb.org/t/p/w500/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
2005,195.3,0.034,118,Batman Begins,Action,150000000,374218673,6/10/2005,140,Christopher Nolan,11,0,30,70,74,67,2096,8.6,2005,https://image.tmdb.org/t/p/w500/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg
2009,214.5,-0.004,120,Night at the Museum: Battle of the Smithsonian,Adventure,150000000,413106170,5/20/2009,105,Shawn Levy,18,9,4,42,86,30,51,5.6,2009,https://image.tmdb.org/t/p/w500/l9yAQn6TyrA3gv5xZZkiMMoZsiw.jpg
2003,184,0.023,122,The Matrix Revolutions,Adventure,150000000,424988211,11/5/2003,129,Lilly Wachowski,25,7,9,47,151,251,262,4.8,2003,https://image.tmdb.org/t/p/w500/t1wm4PgOQ8e4z1C6tk1yDNrps4T.jpg
2013,233,0.015,123,Frozen,Animation,150000000,1274219009,11/27/2013,102,Chris Buck,6,0,37,74,176,149,981,7.5,2013,https://image.tmdb.org/t/p/w500/mbPrrbt8bSLcHSBCHnRclPlMZPl.jpg
2003,184,0.023,124,The Matrix Reloaded,Adventure,150000000,738599701,5/15/2003,138,Lilly Wachowski,14,1,25,62,118,58,507,7.7,2003,https://image.tmdb.org/t/p/w500/9TGHDvWrqKBzwDxDodHYXEmOE6J.jpg
2015,237,0.001,126,Mad Max: Fury Road,Action,150000000,378858340,5/13/2015,120,George Miller,1,0,50,90,206,271,3440,8.6,2015,https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg
2009,214.5,-0.004,127,Angels & Demons,Thriller,150000000,356613439,5/13/2009,138,Ron Howard,23,3,10,48,106,49,143,6.2,2009,https://image.tmdb.org/t/p/w500/tFZQAuulEOtFTp0gHbVdEXwGrYe.jpg
2008,215.3,0.038,129,Bolt,Animation,150000000,309979994,11/21/2008,98,Chris Williams,8,1,20,67,35,20,314,8.3,2008,https://image.tmdb.org/t/p/w500/z9VHoUcZ1GiH3f3qYz7Me7Zc1Fd.jpg
2009,214.5,-0.004,130,G-Force,Fantasy,150000000,292817841,7/21/2009,88,Hoyt Yeatman,13,4,2,41,28,39,28,4.5,2009,https://image.tmdb.org/t/p/w500/fkqcF21HKZPvCwO6BHPa3aCRaxz.jpg
2012,229.6,0.021,131,Wrath of the Titans,Adventure,150000000,301000000,3/27/2012,99,Jonathan Liebesman,18,10,4,37,153,79,94,5.2,2012,https://image.tmdb.org/t/p/w500/b9n2R3xZWQ8MVZgndQoV34stS0h.jpg
2012,229.6,0.021,132,Dark Shadows,Comedy,150000000,245527149,5/8/2012,113,Tim Burton,26,1,15,55,190,80,185,5.8,2012,https://image.tmdb.org/t/p/w500/d7A9pVX8OSWMSSjPBsIc1jAMP0y.jpg
2015,237,0.001,133,Mission: Impossible - Rogue Nation,Action,150000000,682330139,7/23/2015,131,Christopher McQuarrie,6,0,40,75,103,30,732,7.9,2015,https://image.tmdb.org/t/p/w500/sGvcWcI99OTXLzghD7qXw00KaY5.jpg
2011,224.9,0.032,135,Kung Fu Panda 2,Animation,150000000,665692281,5/25/2011,91,Jennifer Yuh Nelson,6,1,24,67,74,19,387,7.7,2011,https://image.tmdb.org/t/p/w500/mtqqD00vB4PGRt20gWtGqFhrkd0.jpg
2006,201.6,0.032,137,Mission: Impossible III,Adventure,150000000,397850012,5/3/2006,126,J.J. Abrams,11,0,31,66,89,38,457,7.8,2006,https://image.tmdb.org/t/p/w500/3VianLpu8hhmq4TTItKPaCtA5su.jpg
2013,233,0.015,138,White House Down,Action,150000000,205366737,6/27/2013,131,Roland Emmerich,19,7,17,52,100,55,131,5.9,2013,https://image.tmdb.org/t/p/w500/6TeIVKPw7nXXWy2zKmDmlnSwzb7.jpg
2011,224.9,0.032,139,Mars Needs Moms,Adventure,150000000,38992758,3/9/2011,88,Simon Wells,11,3,8,49,22,26,18,4.7,2011,https://image.tmdb.org/t/p/w500/g94LNU4pipIUJLkTvYIgNGfT2J2.jpg
2004,188.9,0.027,143,Troy,Adventure,175000000,497409852,5/13/2004,163,Wolfgang Petersen,21,4,18,56,72,16,469,8.7,2004,https://image.tmdb.org/t/p/w500/a07wLy4ONfpsjnBqMwhlWTJTcm.jpg
2012,229.6,0.021,144,Madagascar 3: Europe's Most Wanted,Animation,145000000,746921274,6/6/2012,93,Conrad Vernon,9,2,15,60,89,34,174,6.7,2012,https://image.tmdb.org/t/p/w500/ekraj4ksvIKeuvQVEevEJkuybZd.jpg
2002,179.9,0.016,145,Die Another Day,Adventure,140000000,431971116,11/17/2002,133,Lee Tamahori,18,4,21,56,49,31,235,8.1,2002,https://image.tmdb.org/t/p/w500/bZmGqOhMhaLn8AoFMvFDct4tbrL.jpg
2016,240,0.013,146,Ghostbusters,Action,144000000,229147509,7/14/2016,116,Paul Feig,19,3,30,60,219,,430,2.9,2016,https://image.tmdb.org/t/p/w500/wJmWliwXIgZOCCVOcGRBhce7xPS.jpg
1998,163,0.016,147,Armageddon,Action,140000000,553799566,7/1/1998,151,Michael Bay,8,7,8,42,95,47,133,6.2,1998,https://image.tmdb.org/t/p/w500/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg
2002,179.9,0.016,148,Men in Black II,Action,140000000,441818803,7/3/2002,88,Barry Sonnenfeld,21,5,11,49,130,25,109,6.4,2002,https://image.tmdb.org/t/p/w500/enA22EPyzc2WQ1VVyY7zxresQQr.jpg
2007,207.3,0.029,149,Beowulf,Adventure,70000000,195735876,11/5/2007,115,Robert Zemeckis,13,0,22,59,74,58,152,6.3,2007,https://image.tmdb.org/t/p/w500/clFVwgBzXdqW6IVFZ7uWqQwopiK.jpg
2016,240,0.013,150,Kung Fu Panda 3,Action,145000000,521170825,1/23/2016,95,Jennifer Yuh Nelson,11,0,23,66,79,19,284,7.4,2016,https://image.tmdb.org/t/p/w500/oajNi4Su39WAByHI6EONu8G8HYn.jpg
2011,224.9,0.032,151,Mission: Impossible - Ghost Protocol,Action,145000000,694713380,12/7/2011,133,Brad Bird,9,0,38,73,102,34,775,7.9,2011,https://image.tmdb.org/t/p/w500/eRZTGx7GsiKqPch96k27LK005ZL.jpg
2012,229.6,0.021,152,Rise of the Guardians,Fantasy,145000000,306941670,11/21/2012,97,Peter Ramsey,14,2,18,57,48,17,221,7.4,2012,https://image.tmdb.org/t/p/w500/sW4qOa9yF0Ikg7lppncQ0n5UhKX.jpg
2005,195.3,0.034,153,Fun with Dick and Jane,Comedy,100000000,202026112,12/21/2005,90,Dean Parisot,19,6,8,47,46,35,53,5.4,2005,https://image.tmdb.org/t/p/w500/1NBVGBi8Z6MhJBAJ5SuRMqP7o3T.jpg
2003,184,0.023,154,The Last Samurai,Drama,140000000,456758981,12/5/2003,154,Edward Zwick,20,4,19,55,34,24,255,7.8,2003,https://image.tmdb.org/t/p/w500/lsasOSgYI85EHygtT5SvcxtZVYT.jpg
2014,236.7,0.016,155,Exodus: Gods and Kings,Adventure,140000000,268031828,12/3/2014,150,Ridley Scott,21,9,13,52,146,127,110,4.8,2014,https://image.tmdb.org/t/p/w500/uaDj37JtvLan9tihxZ18e6qL33b.jpg
2009,214.5,-0.004,156,Star Trek,Science,150000000,385680446,5/6/2009,127,J.J. Abrams,3,0,43,82,126,143,1259,7.9,2009,https://image.tmdb.org/t/p/w500/9vaRPXj44Q2meHgt3VVfQufiHOJ.jpg
2002,179.9,0.016,157,Spider-Man,Fantasy,139000000,821708551,5/1/2002,121,Sam Raimi,6,0,32,73,81,30,1051,8.5,2002,https://image.tmdb.org/t/p/w500/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg
2014,236.7,0.016,158,How to Train Your Dragon 2,Fantasy,145000000,609123048,6/12/2014,102,Dean DeBlois,7,0,32,76,55,26,617,8.4,2014,https://image.tmdb.org/t/p/w500/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg
2016,240,0.013,159,Gods of Egypt,Fantasy,140000000,150680864,2/25/2016,127,Alex Proyas,10,15,0,25,92,155,119,4.5,2016,https://image.tmdb.org/t/p/w500/hzH7fwaTyQNITLo40Hu3R7cVMqv.jpg
