Year,Annual Average CPI(-U),Annual Percent Change,index,title,genre,budget,revenue,release_date,runtime,director,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore,release_year,Poster_URL
2011,224.9,0.032,1149,Extremely Loud & Incredibly Close,Drama,40000000,55247881,12/24/2011,129,Stephen Daldry,,,,,,,,,2011,https://image.tmdb.org/t/p/w500/6pszViNvKr1r31pP7gJNYDHEx5P.jpg
2000,172.2,0.034,1152,The Art of War,Crime,40000000,30199105,8/23/2000,117,Christian Duguay,,,,,,,,,2000,https://image.tmdb.org/t/p/w500/ydm2xhWosLF645oGSbQ7ImAbMho.jpg
1996,156.9,0.029,1155,The Island of Dr. Moreau,Fantasy,40000000,49627779,8/23/1996,96,John Frankenheimer,,,,,,,,,1996,https://image.tmdb.org/t/p/w500/hOJeQXve8W9rNRhdgC1WV3GQJyA.jpg
1994,148.2,0.026,1160,Renaissance Man,Comedy,40000000,24332324,6/3/1994,128,Penny Marshall,,,,,,,,,1994,https://image.tmdb.org/t/p/w500/iPRtaSfN8gNWFclgrcg5oD3V41i.jpg
1998,163,0.016,1162,Quest for Camelot,Fantasy,40000000,38172500,5/15/1998,86,Frederik Du Chau,,,,,,,,,1998,https://image.tmdb.org/t/p/w500/pLfFEQ9HTw0HRvBkW3nI9RUze03.jpg
2012,229.6,0.021,1168,Lo imposible,Thriller,42000000,180274123,9/9/2012,113,Juan Antonio Bayona,,,,,,,,,2012,https://image.tmdb.org/t/p/w500/5dtla4cclnzfhou3IADsHERLEyk.jpg
2001,177.1,0.028,1173,Le fabuleux destin d'Amélie Poulain,Comedy,10000000,173921954,4/25/2001,122,Jean-Pierre Jeunet,,,,,,,,,2001,https://image.tmdb.org/t/p/w500/6pMAiHi9wHCMhh5xNzPpzWIbpH2.jpg
2006,201.6,0.032,1186,Stormbreaker,Adventure,40000000,23937870,7/21/2006,93,Geoffrey Sax,,,,,,,,,2006,https://image.tmdb.org/t/p/w500/l0vSLU0tsYuQsvMxsC52rJsd583.jpg
2015,237,0.001,1191,Baahubali: The Beginning,Action,40000000,100000000,7/10/2015,159,S.S. Rajamouli,,,,,,,,,2015,https://image.tmdb.org/t/p/w500/9BAjt8nSSms62uOVYn1t3C3dVto.jpg
2004,188.9,0.027,1195,Against the Ropes,Romance,39000000,6614280,2/20/2004,106,Charles S. Dutton,,,,,,,,,2004,https://image.tmdb.org/t/p/w500/9CuODYTA3vvrGluaIl0hMPsEIK8.jpg
2008,215.3,0.038,1198,Chi bi,Adventure,80341000,127814609,7/10/2008,150,John Woo,,,,,,,,,2008,https://image.tmdb.org/t/p/w500/DWQOjAPvM8Kk1Qp3Xq0zae0Z6w.jpg
2002,179.9,0.016,1201,Spy Kids 2: The Island of Lost Dreams,Action,38000000,119723358,8/7/2002,100,Robert Rodriguez,,,,,,,,,2002,https://image.tmdb.org/t/p/w500/z8pfWCk6SlxxDLXXQdUHdxF5dwJ.jpg
2013,233,0.015,1203,一代宗師,Action,3860000,64076736,1/8/2013,130,Wong Kar-wai,,,,,,,,,2013,https://image.tmdb.org/t/p/w500/ydBVVIscL6TsX5hYztA5YpBCwJ3.jpg
1996,156.9,0.029,1211,Extreme Measures,Drama,38000000,17380126,9/27/1996,118,Michael Apted,,,,,,,,,1996,https://image.tmdb.org/t/p/w500/fFpA6zm0QGA2oz5yk6pgGeUFfhv.jpg
2009,214.5,-0.004,1213,Precious,Drama,10000000,47536959,11/6/2009,110,Lee Daniels,,,,,,,,,2009,https://image.tmdb.org/t/p/w500/60wotd9fKVUGidpClFAyXWV8TKc.jpg
1997,160.5,0.023,1217,Switchback,Action,37000000,6482195,10/31/1997,118,Jeb Stuart,,,,,,,,,1997,https://image.tmdb.org/t/p/w500/3v4nX475G97Vd8XCapTKQ7NTqMs.jpg
2007,207.3,0.029,1220,Virgin Territory,Adventure,38000000,5410749,12/17/2007,93,David Leland,,,,,,,,,2007,https://image.tmdb.org/t/p/w500/bPdE1CbdP8Bf1NMg9PF4QkPR9oZ.jpg
